,Latitude,Longitude,Max_surface_temp_F,county
139,35.143,-116.81299999999999,100.0,San Bernardino County
140,36.330999999999996,-121.367,98.0,Monterey County
141,35.663000000000004,-120.69200000000001,102.0,San Luis Obispo County
142,35.269,-120.851,95.0,San Luis Obispo County
143,39.696999999999996,-123.478,70.0,Mendocino County
144,38.85,-122.693,78.0,Lake County
145,41.828,-120.917,78.0,Modoc County
146,39.198,-122.505,81.0,Colusa County
147,39.053000000000004,-122.59700000000001,82.0,Lake County
148,35.879,-116.15299999999999,80.0,Inyo County
149,38.958,-122.70100000000001,93.0,Lake County
150,37.88,-122.62700000000001,90.0,Marin County
151,37.431999999999995,-121.30799999999999,73.0,Stanislaus County
152,34.537,-119.87899999999999,110.0,Santa Barbara County
153,35.582,-120.666,92.0,San Luis Obispo County
154,35.681999999999995,-116.42200000000001,82.0,San Bernardino County
155,36.938,-121.565,77.0,Santa Clara County
156,40.568000000000005,-120.325,72.0,Lassen County
157,35.588,-116.359,73.0,San Bernardino County
158,35.978,-116.273,90.0,Inyo County
159,33.8,-116.927,102.0,Riverside County
160,36.13,-118.816,72.0,Tulare County
161,38.95,-122.572,72.0,Lake County
162,36.21,-118.176,100.0,Tulare County
163,35.141,-116.101,75.0,San Bernardino County
164,38.838,-122.65299999999999,79.0,Lake County
165,40.019,-121.036,99.0,Plumas County
166,41.483999999999995,-120.764,81.0,Modoc County
167,36.765,-120.90100000000001,81.0,Merced County
168,33.514,-117.604,95.0,Orange County
169,37.083,-121.042,70.0,Merced County
170,37.719,-118.735,75.0,Mono County
171,36.495,-117.89299999999999,86.0,Inyo County
172,37.635,-118.72,72.0,Mono County
173,43.513000000000005,-119.90299999999999,93.0,Lake County
174,41.218999999999994,-120.066,106.0,Modoc County
175,38.49,-122.49799999999999,97.0,Napa County
176,40.223,-122.74700000000001,101.0,Tehama County
177,36.618,-121.845,100.0,Monterey County
178,39.088,-122.525,68.0,Lake County
179,37.924,-122.046,75.0,Contra Costa County
180,39.43,-122.538,75.0,Glenn County
181,36.295,-120.985,73.0,San Benito County
182,41.659,-123.319,84.0,Siskiyou County
183,35.908,-120.367,88.0,Monterey County
184,40.58,-120.265,70.0,Lassen County
185,38.31,-122.053,68.0,Solano County
186,36.441,-116.829,90.0,Inyo County
187,40.238,-122.11,86.0,Tehama County
188,34.228,-117.48299999999999,92.0,San Bernardino County
189,32.97,-116.42299999999999,79.0,San Diego County
190,38.125,-122.18799999999999,68.0,Solano County
191,38.192,-120.82700000000001,75.0,Calaveras County
192,39.166,-123.15899999999999,85.0,Mendocino County
193,36.117,-118.77600000000001,70.0,Tulare County
194,34.605,-118.561,92.0,Los Angeles County
195,41.16,-120.40299999999999,70.0,Lassen County
196,38.203,-119.118,77.0,Mono County
197,41.251999999999995,-120.521,75.0,Modoc County
198,34.34,-117.17299999999999,108.0,San Bernardino County
199,36.122,-117.21700000000001,80.0,Inyo County
200,34.507,-119.291,102.0,Ventura County
201,37.63,-118.80799999999999,95.0,Mono County
202,34.582,-119.044,108.0,Ventura County
203,33.217,-115.58,100.0,Imperial County
204,35.433,-118.478,100.0,Kern County
205,38.755,-122.285,70.0,Napa County
206,38.986,-122.736,95.0,Lake County
207,33.802,-118.39299999999999,77.0,Los Angeles County
208,34.124,-117.07799999999999,90.0,San Bernardino County
209,36.64,-120.684,75.0,Fresno County
210,41.542,-120.56700000000001,81.0,Modoc County
211,41.466,-120.525,72.0,Modoc County
212,41.36,-120.723,81.0,Modoc County
213,41.208,-120.054,109.0,Modoc County
214,37.413000000000004,-119.139,95.0,Fresno County
215,37.895,-121.874,70.0,Contra Costa County
216,35.94,-117.90299999999999,80.0,Inyo County
217,35.363,-119.727,93.0,Kern County
218,35.649,-120.68700000000001,108.0,San Luis Obispo County
219,38.389,-122.56700000000001,73.0,Sonoma County
220,38.357,-122.509,70.0,Sonoma County
221,38.321,-122.271,83.0,Napa County
222,38.101,-122.169,73.0,Solano County
223,39.98,-120.064,108.0,Lassen County
224,39.2,-122.725,90.0,Lake County
225,39.022,-122.59200000000001,81.0,Lake County
226,37.653,-118.925,72.0,Mono County
227,37.639,-118.756,86.0,Mono County
228,37.607,-118.80799999999999,73.0,Mono County
229,37.268,-118.272,84.0,Inyo County
230,37.989000000000004,-119.139,72.0,Mono County
231,37.941,-119.036,91.0,Mono County
232,37.836,-119.016,97.0,Mono County
233,37.741,-107.03399999999999,90.0,Mineral County
234,37.728,-107.054,86.0,Mineral County
235,38.653,-106.056,77.0,Chaffee County
236,38.634,-106.072,73.0,Chaffee County
237,38.433,-105.26100000000001,104.0,Fremont County
238,38.272,-107.1,106.0,Gunnison County
239,38.836,-106.825,77.0,Gunnison County
240,39.012,-106.891,100.0,Pitkin County
241,37.294000000000004,-105.78399999999999,68.0,Conejos County
242,39.628,-107.10600000000001,90.0,Eagle County
243,37.771,-108.09100000000001,108.0,Dolores County
244,39.931999999999995,-105.277,79.0,Boulder County
245,37.747,-108.117,82.0,Dolores County
246,40.467,-107.95200000000001,100.0,Moffat County
247,38.014,-108.054,91.0,San Miguel County
248,37.313,-107.344,108.0,Archuleta County
249,37.453,-107.803,90.0,La Plata County
250,37.510999999999996,-106.945,104.0,Mineral County
251,38.816,-106.87299999999999,81.0,Gunnison County
252,39.164,-106.06200000000001,75.0,Park County
253,37.751,-106.31700000000001,86.0,Saguache County
254,40.483000000000004,-106.82700000000001,102.0,Routt County
255,37.033,-106.805,81.0,Archuleta County
256,38.479,-105.891,82.0,Fremont County
257,37.391,-107.846,97.0,La Plata County
258,38.192,-105.816,99.0,Saguache County
259,38.485,-105.91,91.0,Fremont County
260,27.074,-82.23299999999999,81.0,Sarasota County
261,27.06,-82.26100000000001,86.0,Sarasota County
262,32.92,-84.43799999999999,73.0,Upson County
263,33.037,-84.374,79.0,Pike County
264,32.861999999999995,-84.65,77.0,
265,33.018,-84.32700000000001,75.0,Pike County
266,32.964,-84.499,75.0,Upson County
267,32.873000000000005,-84.54700000000001,68.0,
268,32.893,-84.69,88.0,
269,43.038000000000004,-112.00399999999999,93.0,Bingham County
270,43.227,-111.109,99.0,Bonneville County
271,44.64,-116.045,90.0,Valley County
272,42.405,-114.14200000000001,99.0,Cassia County
273,44.091,-111.458,79.0,Fremont County
274,44.621,-115.985,100.0,Valley County
275,44.269,-113.449,82.0,Custer County
276,44.523,-114.17299999999999,109.0,Custer County
277,44.64,-113.50399999999999,91.0,Lemhi County
278,44.45399999999999,-112.696,73.0,Clark County
279,42.928000000000004,-111.59200000000001,72.0,Caribou County
280,42.986000000000004,-111.743,79.0,Caribou County
281,45.201,-116.31200000000001,82.0,Adams County
282,43.21,-111.495,95.0,Bonneville County
283,42.798,-115.742,106.0,Owyhee County
284,42.778999999999996,-115.715,109.0,Owyhee County
285,44.398,-115.149,95.0,Custer County
286,46.466,-114.939,106.0,Idaho County
287,44.516000000000005,-115.295,110.0,Valley County
288,44.06,-115.819,106.0,Boise County
289,44.717,-115.70299999999999,68.0,Valley County
290,42.388000000000005,-112.085,109.0,Bannock County
291,42.102,-113.632,102.0,Cassia County
292,43.778999999999996,-114.539,100.0,Blaine County
293,43.66,-111.715,72.0,Madison County
294,43.423,-111.414,77.0,Bonneville County
295,42.085,-113.564,72.0,Cassia County
296,44.391999999999996,-115.834,100.0,Valley County
297,42.911,-111.556,86.0,Caribou County
298,43.831,-116.396,73.0,Gem County
299,45.503,-114.463,109.0,Lemhi County
300,44.9,-115.505,97.0,Valley County
301,43.047,-114.929,81.0,Gooding County
302,42.762,-115.73899999999999,99.0,Owyhee County
303,42.725,-112.87200000000001,90.0,Power County
304,44.495,-116.73200000000001,86.0,Washington County
305,42.339,-112.436,75.0,Oneida County
306,44.971000000000004,-116.20299999999999,109.0,Adams County
307,42.625,-113.10700000000001,70.0,Power County
308,45.07,-115.82600000000001,91.0,Valley County
309,44.382,-114.088,93.0,Custer County
310,42.865,-116.368,77.0,Owyhee County
311,42.766999999999996,-115.725,108.0,Owyhee County
312,42.013000000000005,-114.50399999999999,109.0,Twin Falls County
313,42.173,-112.23899999999999,77.0,Oneida County
314,42.446999999999996,-113.523,104.0,Cassia County
315,42.449,-113.51100000000001,106.0,Cassia County
316,44.26,-114.838,100.0,Custer County
317,42.336999999999996,-114.509,97.0,Twin Falls County
318,42.426,-111.37799999999999,79.0,Bear Lake County
319,43.99,-114.8,109.0,Custer County
320,42.156000000000006,-112.348,77.0,Oneida County
321,43.76,-115.56,108.0,Elmore County
322,42.781000000000006,-111.98299999999999,93.0,Caribou County
323,43.576,-114.83,106.0,Camas County
324,42.025,-112.226,77.0,Oneida County
325,42.286,-113.446,72.0,Cassia County
326,45.416000000000004,-116.17200000000001,106.0,Idaho County
327,42.545,-112.906,100.0,Power County
328,44.101000000000006,-114.865,106.0,Custer County
329,45.852,-114.93700000000001,106.0,Idaho County
330,43.367,-113.884,72.0,Blaine County
331,43.805,-114.585,100.0,Blaine County
332,42.24,-113.588,84.0,Cassia County
333,44.33,-115.802,102.0,Valley County
334,45.042,-114.616,108.0,Lemhi County
335,42.657,-111.604,82.0,Caribou County
336,44.224,-114.929,106.0,Custer County
